State,Vehicle_type,Value,Year
CT,Combination Short-haul Trucks,692.64711194,2017
DC,Combination Short-haul Trucks,47.648339774,2017
DE,Combination Short-haul Trucks,1040.920296,2017
MA,Combination Short-haul Trucks,2097.6723950699998,2017
MD,Combination Short-haul Trucks,2526.0629390999998,2017
ME,Combination Short-haul Trucks,1494.1708684,2017
NC,Combination Short-haul Trucks,6959.303902,2017
NH,Combination Short-haul Trucks,50.768709152999996,2017
NJ,Combination Short-haul Trucks,5903.7696786,2017
NY,Combination Short-haul Trucks,4823.4918584,2017
PA,Combination Short-haul Trucks,8445.764108,2017
RI,Combination Short-haul Trucks,302.02307114,2017
VA,Combination Short-haul Trucks,3381.7648081,2017
VT,Combination Short-haul Trucks,547.54516458,2017
WV,Combination Short-haul Trucks,1963.5599234000001,2017
CT,Intercity Buses,54.691762492,2017
DC,Intercity Buses,117.713890273,2017
DE,Intercity Buses,89.939674061,2017
MA,Intercity Buses,930.7964972799999,2017
MD,Intercity Buses,1273.884889343,2017
ME,Intercity Buses,361.622486977,2017
NC,Intercity Buses,5270.182824456,2017
NH,Intercity Buses,115.671348473,2017
NJ,Intercity Buses,1090.3282765269998,2017
NY,Intercity Buses,2966.1351085320002,2017
PA,Intercity Buses,177.086454214,2017
RI,Intercity Buses,148.723636198,2017
VA,Intercity Buses,2758.673080041,2017
VT,Intercity Buses,25.900852391,2017
WV,Intercity Buses,615.100067636,2017
CT,Light Commercial Trucks,157.662113339,2017
DC,Light Commercial Trucks,41.641240272999994,2017
DE,Light Commercial Trucks,38.807906933,2017
MA,Light Commercial Trucks,244.661132798,2017
MD,Light Commercial Trucks,273.17067351,2017
ME,Light Commercial Trucks,69.634282321,2017
NC,Light Commercial Trucks,676.86475507,2017
NH,Light Commercial Trucks,75.856305511,2017
NJ,Light Commercial Trucks,352.19930554,2017
NY,Light Commercial Trucks,1661.5903319699999,2017
PA,Light Commercial Trucks,572.12382031,2017
RI,Light Commercial Trucks,10.382539071,2017
VA,Light Commercial Trucks,820.31000813,2017
VT,Light Commercial Trucks,34.292176675,2017
WV,Light Commercial Trucks,122.446691385,2017
CT,Motor Homes,4.609967575,2017
DC,Motor Homes,1.820839902,2017
DE,Motor Homes,10.760669680000001,2017
MA,Motor Homes,360.447882613,2017
MD,Motor Homes,46.292031625,2017
ME,Motor Homes,22.903405063,2017
NC,Motor Homes,52.212774795,2017
NH,Motor Homes,43.459878816999996,2017
NJ,Motor Homes,37.576523243,2017
NY,Motor Homes,77.357924199,2017
PA,Motor Homes,589.9293730320001,2017
RI,Motor Homes,24.338521647,2017
VA,Motor Homes,16.622396199,2017
VT,Motor Homes,11.230754209999999,2017
WV,Motor Homes,51.187795189,2017
CT,Passenger Cars,49.030860063,2017
DC,Passenger Cars,3.456506009,2017
DE,Passenger Cars,7.0648732889999994,2017
MA,Passenger Cars,58.008059976,2017
MD,Passenger Cars,72.245014763,2017
ME,Passenger Cars,21.602637352,2017
NC,Passenger Cars,124.60898004299999,2017
NH,Passenger Cars,19.380187294,2017
NJ,Passenger Cars,60.422379385,2017
NY,Passenger Cars,112.005063204,2017
PA,Passenger Cars,113.795677818,2017
RI,Passenger Cars,19.628853461,2017
VA,Passenger Cars,136.86070117,2017
VT,Passenger Cars,11.148561873,2017
WV,Passenger Cars,14.842030662,2017
CT,Passenger Trucks,514.9274424500001,2017
DC,Passenger Trucks,16.886258867000002,2017
DE,Passenger Trucks,128.75810945,2017
MA,Passenger Trucks,737.07056353,2017
MD,Passenger Trucks,1297.30370066,2017
ME,Passenger Trucks,347.60194963,2017
NC,Passenger Trucks,3687.6283562,2017
NH,Passenger Trucks,332.01243617,2017
NJ,Passenger Trucks,883.1404639,2017
NY,Passenger Trucks,749.14047115,2017
PA,Passenger Trucks,2837.5964678,2017
RI,Passenger Trucks,120.82406719299999,2017
VA,Passenger Trucks,2458.7967805,2017
VT,Passenger Trucks,173.406133884,2017
WV,Passenger Trucks,945.19250102,2017
CT,Refuse Trucks,21.935398261,2017
DC,Refuse Trucks,19.683823041,2017
DE,Refuse Trucks,38.737871536,2017
MA,Refuse Trucks,330.04434298800004,2017
MD,Refuse Trucks,177.799084855,2017
ME,Refuse Trucks,179.750208299,2017
NC,Refuse Trucks,262.090750382,2017
NH,Refuse Trucks,110.783337258,2017
NJ,Refuse Trucks,570.168037329,2017
NY,Refuse Trucks,846.29021214,2017
PA,Refuse Trucks,1322.467833703,2017
RI,Refuse Trucks,46.989136969,2017
VA,Refuse Trucks,17.831741379,2017
VT,Refuse Trucks,30.274394993,2017
WV,Refuse Trucks,47.825270870000004,2017
CT,School Buses,41.435830998,2017
DC,School Buses,8.226873964000001,2017
DE,School Buses,39.800917088,2017
MA,School Buses,271.720288553,2017
MD,School Buses,466.98015843,2017
ME,School Buses,242.74879551,2017
NC,School Buses,807.416142173,2017
NH,School Buses,106.679990381,2017
NJ,School Buses,742.268972853,2017
NY,School Buses,1243.812760715,2017
PA,School Buses,455.551742543,2017
RI,School Buses,75.298329101,2017
VA,School Buses,448.301703239,2017
VT,School Buses,94.399135055,2017
WV,School Buses,37.413898349,2017
CT,Single Unit Long-haul Trucks,55.939201364,2017
DC,Single Unit Long-haul Trucks,24.064703435,2017
DE,Single Unit Long-haul Trucks,87.161956941,2017
MA,Single Unit Long-haul Trucks,337.158794741,2017
MD,Single Unit Long-haul Trucks,188.715091998,2017
ME,Single Unit Long-haul Trucks,115.657847599,2017
NC,Single Unit Long-haul Trucks,242.980327552,2017
NH,Single Unit Long-haul Trucks,120.636394685,2017
NJ,Single Unit Long-haul Trucks,1098.3930464300001,2017
NY,Single Unit Long-haul Trucks,1679.14591386,2017
PA,Single Unit Long-haul Trucks,572.057317068,2017
